Geneid	AP2CKO_1.bam	AP2CKO_2.bam	AP2CKO_3.bam
PBANKA_0506700	13381	17758	14685
PBANKA_0907700	10226	12487	10631
PBANKA_1110800	3997	5901	5250
PBANKA_0909000	739	1024	1049
PBANKA_1359600	17168	22145	19402
PBANKA_0917400	6919	8726	8683
PBANKA_0909700	1966	2677	2438
PBANKA_1301000	3057	5326	4193
PBANKA_0205200	63340	98595	80476
PBANKA_0834400	17829	25492	22127
PBANKA_1212000	24953	32738	25755
PBANKA_1005400	16700	18762	17204
PBANKA_1438400	43826	54970	47611
PBANKA_1422000	693	848	928
PBANKA_1331800	5091	7406	6692
PBANKA_0112701	14	3	4
PBANKA_1365700	321	469	641
PBANKA_1146781	28	49	40
PBANKA_0406200	25298	33405	29890
PBANKA_1403800	17638	27453	21521
PBANKA_1242500	9468	14392	11376
PBANKA_1322600	967	1744	1515
PBANKA_1019380	125	210	199
PBANKA_1429500	1192	2308	1848
PBANKA_0210900	352	560	484
PBANKA_0800061	35	74	69
PBANKA_1354200	1912	2384	2407
PBANKA_1465100	3373	6877	5775
PBANKA_1138300	3650	5193	4433
PBANKA_1340300	3658	6133	5348
PBANKA_0907500	8991	12245	11502
PBANKA_1457700	2289	2532	2915
PBANKA_0203800	7147	10628	8701
PBANKA_1000900	187	401	277
PBANKA_0313500	1679	2450	2413
PBANKA_0212500	887	1278	1008
PBANKA_1029500	1659	2005	1621
PBANKA_0814500	7205	8329	7641
PBANKA_1216900	6814	10013	8467
PBANKA_0412700	957	1161	996
PBANKA_1325400	13168	14042	13116
PBANKA_0802300	61693	87271	73287
PBANKA_0921600	10766	13889	11530
PBANKA_1455300	8007	11818	10440
